id,x,y,v
101,4.698183536529541,-23.257421493530273,6.281764507293701
102,4.694863319396973,-23.467166900634766,6.142996311187744
103,4.692187309265137,-23.671777725219727,6.231624603271484
104,4.692187309265137,-23.87986183166504,6.1189422607421875
105,4.694706916809082,-24.083749771118164,6.171240329742432
106,4.701835632324219,-24.28972625732422,6.068253517150879
107,4.707421779632568,-24.49185562133789,6.168394565582275
108,4.711054801940918,-24.697792053222656,6.054360389709473
109,4.714902400970459,-24.899452209472656,6.163012981414795
110,4.717734336853027,-25.105215072631836,6.048318862915039
111,4.721171855926514,-25.306659698486328,6.1629533767700195
112,4.723925590515137,-25.512441635131836,6.057593822479248
113,4.727284908294678,-25.71419906616211,6.179781913757324
114,4.730155944824219,-25.92054557800293,6.085711479187012
