id,x,y,v,union,newx,newy
64,202.646163940429688,-394.460021972656250,12.561682701110840,10,206.823506186722170,-393.266495616572740
65,198.976669311523438,-392.832305908203125,12.464185714721680,10,200.408900938823706,-391.280721645294477
66,193.613479614257812,-391.498321533203125,12.391119956970215,10,194.568300699124649,-390.782205719553019
67,189.412460327148438,-391.214447021484375,12.340741157531738,10,189.054402420323385,-390.975741750267673
68,183.948928833007812,-391.839202880859375,12.270516395568848,10,183.948928833007812,-391.839202880859375
69,179.784759521484375,-393.110961914062500,12.254957199096680,10,179.784759521484375,-393.110961914062500
70,176.016754150390625,-394.899719238281250,12.225090026855469,10,176.136106785998948,-395.257777145106331
71,171.587280273437500,-397.967071533203125,12.192609786987305,10,172.303396087087634,-397.967071533203182
72,167.759918212890625,-401.694061279296875,12.195462226867676,10,167.759918212890625,-401.932766550513520
73,164.454254150390625,-406.014953613281250,12.143997192382812,10,163.618785701132083,-406.492364155714597
74,160.457504272460938,-413.223297119140625,12.154642105102539,10,160.218799001244264,-412.984591847923866
75,157.717422485351562,-420.668579101562500,12.166334152221680,10,156.523896129267996,-420.668579101562443
76,155.831024169921875,-430.045684814453125,12.993753433227539,10,153.324618822146391,-430.165037450061448
77,154.875961303710938,-440.870239257812500,14.799496650695801,10,152.727613862760535,-441.347649800245961
80,158.073059082031250,-500.407104492187500,17.129713058471680,10,158.073059082031250,-500.407104492187500
81,159.333526611328125,-525.781555175781250,17.001739501953125,10,159.333526611328125,-532.704008041066004
82,159.097335815429688,-541.279235839843750,14.833013534545898,10,159.336041086646389,-542.472762195927316
83,157.477752685546875,-552.983520507812500,13.972609519958496,10,157.477752685546875,-552.983520507812500
84,155.723922729492188,-558.648132324218750,13.831163406372070,10,155.723922729492188,-558.648132324218750
85,153.017974853515625,-564.132812500000000,13.383444786071777,10,153.017974853515625,-564.132812500000000
86,149.570678710937500,-568.675659179687500,13.169496536254883,10,149.570678710937500,-568.675659179687500
87,144.834365844726562,-572.594665527343750,12.961885452270508,10,144.834365844726562,-572.594665527343750
88,139.590377807617188,-574.994995117187500,12.724288940429688,10,139.590377807617188,-574.994995117187500
89,135.442077636718750,-575.805969238281250,12.648302078247070,10,135.442077636718750,-575.805969238281250
90,131.085189819335938,-575.746582031250000,12.558211326599121,10,131.085189819335938,-575.746582031250000
91,125.928413391113281,-574.438415527343750,12.440214157104492,10,125.928413391113281,-574.438415527343750
92,122.404075622558594,-572.641723632812500,12.490326881408691,10,122.702457211579485,-571.806255183553958
93,119.122825622558594,-570.114685058593750,12.416663169860840,10,119.659912482796202,-569.040511338118449
94,115.327438354492188,-565.815795898437500,12.216408729553223,10,116.640317346184105,-565.278709038199850
95,112.986289978027344,-561.950866699218750,12.634004592895508,10,114.120140016306735,-561.354103521176967
96,109.996070861816406,-554.797241210937500,13.074625015258789,10,111.189597217899959,-554.379506986308115
102,73.168609619140625,-469.291625976562500,14.660566329956055,10,68.394504194806359,-456.878951873293431
103,70.111206054687500,-456.168334960937500,16.456315994262695,10,64.859690087919802,-443.994366128885133
104,67.139747619628906,-438.863037109375000,19.392337799072266,10,63.559168551378235,-435.759868583557761
105,64.977439880371094,-421.563110351562500,20.795719146728516,10,63.067797710637393,-422.040520893995961
111,74.601127624511719,-352.664672851562500,13.869184494018555,10,68.633495844093915,-355.529136106162980
112,79.492675781250000,-343.153930664062500,13.365374565124512,10,74.599217721307383,-343.750693842104283
113,82.992324829101562,-338.535919189453125,13.019295692443848,10,79.053687854025796,-338.774624460669884
114,85.997245788574219,-335.553833007812500,12.964566230773926,10,83.252135169582019,-334.599011922945692
115,89.352088928222656,-333.046936035156250,12.792065620422363,10,87.919857300922374,-331.137293865422521
116,92.957397460937500,-331.068847656250000,12.840429306030273,10,94.986392266279580,-329.159205486516328
117,98.293159484863281,-329.001861572265625,13.141246795654297,10,102.589854366764115,-328.763156301048923
118,105.193588256835938,-327.500396728515625,13.068151473999023,10,109.251577867520055,-328.813275720207514
119,118.624649047851562,-326.251708984375000,14.302901268005371,10,121.847170209277181,-329.593582781408998
120,145.030914306640625,-324.906158447265625,14.587818145751953,10,138.466519348181009,-329.680263871599834
